늘푸른약국,운영,"대구광역시 북구 대천로 91, 1층 계단쪽호 (동천동)",대구광역시 북구 동천동 931-4번지(1층일부),35.93714351,128.5592556,0900~1930,0900~1930,0900~1930,0900~1930,0900~1930,0900~1330,,,,053-325-9249,2021-07-19
늘행복한약국,운영,대구광역시 북구 호국로 219,대구광역시 북구 서변동 1786(대성빌딩118호),35.92134017,128.5988328,0900~1930,0900~1930,0900~1930,0900~1930,0900~1930,0900~1430,,,,053-958-9298,2021-07-19
다나약국,운영,"대구광역시 북구 동북로 297, (복현동)",대구광역시 북구 복현동 364-1번지,35.89247133,128.6225521,0900~1800,0900~1800,0900~1800,0900~1300,0900~1800,0900~1300,,,,053-941-1155,2021-07-19
다나은약국,운영,"대구광역시 북구 내곡로 38-6, 2층 일부 (사수동)",,35.89891846,128.5106371,0900~1830,0900~1830,0900~1830,0900~1830,0900~1830,0900~1400,,,,053-324-6288,2021-07-19
다솔약국,운영,대구광역시 북구 구암로 149,대구광역시 북구 동천동 877-1,35.93197673,128.5571465,0830~1830,0830~1830,0830~1830,0830~1830,0830~1830,0830~1400,,,,053-323-8070,2021-07-19
다우약국,운영,대구광역시 북구 팔달로 143,대구광역시 북구 노원3가 761-7번지,35.88935308,128.5657384,0900~1900,0900~1900,0900~1900,0900~1900,0900~1900,0900~1500,,,,053-353-0390,2021-07-19
대구진약국,운영,"대구광역시 북구 태평로 161, 롯데백화점 대구역 지하2층 (칠성동2가)",대구광역시 북구 칠성동2가 302-155 롯데백화점 대구역지하2층,35.87592803,128.5957459,0900~2000,0900~2000,0900~2000,0900~2000,0900~2000,0900~2000,0900~2000,,"1,2,3,4,5",053-215-8811,2021-07-19
대도약국,운영,대구광역시 북구 산격로 24,대구광역시 북구 산격3동 1413-15,35.89265411,128.6054148,0900~2000,0900~2000,0900~2000,0900~2000,0900~2000,0900~1800,,,,053-954-7303,2021-07-19
대양약국,운영,대구광역시 북구 태전로7길 2 (태전동),대구광역시 북구 태전동 257-16,35.92339265,128.5441489,0900~1900,0900~1900,0900~1900,0900~1900,0900~1900,0900~1900,,,,053-314-8601,2021-07-19
대영약국,운영,"대구광역시 북구 칠성남로 49-9, (고성동2가)",대구광역시 북구 고성2가 63-1,35.87986286,128.5859041,0830~2000,0830~2000,0830~2000,0830~2000,0830~2000,0830~2000,,,,053-357-2268,2021-07-19
대일약국,운영,"대구광역시 북구 고성로 152, (고성동2가)",대구광역시 북구 고성동2가 111-6,35.88102558,128.5824703,0800~1900,0800~1900,0800~1900,0800~1900,0800~1900,0900~1500,,0900~1500,,053-354-7080,2021-07-19
대지약국,운영,대구광역시 북구 고성로 155 (고성동3가),대구광역시 북구 고성동3가 6-97,35.88111908,128.5828643,0900~1830,0900~1830,0900~1830,0900~1830,0900~1830,0900~1700,,,,053-356-2535,2021-07-19
대학당약국,운영,"대구광역시 북구 학정로 551-50, 1층 (학정동)",,35.95444425,128.5648753,0900~1800,0900~1800,0900~1800,0900~1800,0900~1800,1000~1800,,,,053-326-5196,2021-07-19
대학약국,운영,"대구광역시 북구 성북로 33-2, (침산동)",대구광역시 북구 침산3동 476-37,35.89119668,128.587321,0900~1900,0900~1900,0900~1900,0900~1900,0900~1900,0900~1700,,0900~1700,,053-353-0181,2021-07-19
대현사랑약국,운영,"대구광역시 북구 대현남로6길 11, 1층 (대현동)",,35.88105085,128.608582,0830~2000,0830~2000,0830~2000,0830~2000,0830~2000,0830~1700,0900~1300,,"1,2,3,4,5",053-957-5577,2021-07-19
대현약국,운영,대구광역시 북구 대현로 94 (대현동),대구광역시 북구 대현동 407-5,35.88234767,128.6092686,0900~2000,0900~2000,0900~2000,0900~2000,0900~2000,0900~1900,0900~1900,,1,053-956-2072,2021-07-19
독일약국,운영,대구광역시 북구 팔달로 165 (노원동3가),,35.88907072,128.5680646,0900~2000,0900~2000,0900~2000,0900~2000,0900~2000,0900~1700,0900~1400,,"1,3,4,5",053-357-7464,2021-07-19
동남약국,운영,대구광역시 북구 검단로 112-1 (검단동),,35.90667629,128.6200575,0900~2000,0900~2000,0900~2000,0900~2000,0900~2000,0900~1700,,,,053-382-1831,2021-07-19
동대구경북약국,운영,"대구광역시 북구 대현로 96, 1층 (대현동)",대구광역시 북구 대현2동 407-12,35.88227892,128.6094683,0900~1830,0900~1830,0900~1830,0900~1830,0900~1830,0900~1300,,0900~1300,,053-955-3383,2021-07-19
동대구약국,운영,"대구광역시 북구 대현로 91, (대현동)",대구광역시 북구 대현1동 205-20,35.8827119,128.6092346,0900~2100,0900~2100,0900~2100,0900~2100,0900~2100,0900~2100,,0900~2100,,053-941-0134,2021-07-19
동산약국,운영,"대구광역시 북구 칠곡중앙대로 457, (관음동)",대구광역시 북구 관음동 1386-15번지,35.93655211,128.5487497,0900~1800,0900~1800,0900~1800,0900~2000,0900~1800,0900~1400,,,,053-314-8575,2021-07-19
