와촌식육식당 동.서변점,대구광역시 북구 호국로51길 5-29 (서변동),식육(숯불구이),35.923139,128.598669,2020-10-13
왕추,"대구광역시 북구 대현로9길 55 (대현동,외 2필지)",한식,35.888061,128.603247,2020-10-13
용수산한상차림,"대구광역시 북구 태평로 161, 10층 (칠성동2가, 롯데백화점)",한식,35.875894,128.596312,2020-10-13
우돈생고기,"대구광역시 북구 경대로 107 (복현동,외 1필지)",식육(숯불구이),35.889942,128.618035,2020-10-13
우뚝해장국,대구광역시 북구 유통단지로8길 21-23 (산격동),한식,35.90461,128.608818,2020-10-13
우야지막창,"대구광역시 북구 침산로 74 (칠성동2가,(1층,2층))",식육(숯불구이),35.882904,128.590301,2020-10-13
원할머니보쌈대구침산점,대구광역시 북구 원대로 123 (노원동1가),한식,35.888462,128.58263,2020-10-13
유통복어,대구광역시 북구 유통단지로8길 13-14 (산격동),복어취급,35.904676,128.60855,2020-10-13
이비가짬뽕대구칠곡점,"대구광역시 북구 칠곡중앙대로 643, 1층 (읍내동)",한식,35.952989,128.553654,2020-10-13
이화수전통육개장복현점,"대구광역시 북구 동북로 289 (복현동,외1필지)",한식,35.893505,128.619609,2020-10-13
자연숯불갈비,"대구광역시 북구 동북로 307, 1층 (복현동)",한식,35.892154,128.623556,2020-10-13
장원,대구광역시 북구 대구체육관로8길 6 (산격동),식육(숯불구이),35.892236,128.603249,2020-10-13
전원숯불(태전점),"대구광역시 북구 칠곡중앙대로 269, 2층 (태전동)",한식,35.919323,128.545837,2020-10-13
전원숯불침산점,"대구광역시 북구 침산로 66, 1층 (칠성동2가)",식육(숯불구이),35.882358,128.590203,2020-10-13
정동진해물찜,대구광역시 북구 대불서길 63 (산격동),한식,35.904657,128.611728,2020-10-13
정코다리(칠곡점),대구광역시 북구 칠곡중앙대로 605 (읍내동),한식,35.94968,128.551636,2020-10-13
짬뽕신,"대구광역시 북구 옥산로 98, 1층 (고성동3가)",중국식,35.883213,128.58876,2020-10-13
천안문,대구광역시 북구 유통단지로8길 62 (산격동),중국식,35.904778,128.611632,2020-10-13
칼치본가,대구광역시 북구 구암로65길 2 (구암동),탕류(보신용),35.940523,128.569401,2020-10-13
큐브30,대구광역시 북구 동북로 261 (복현동),한식,35.894439,128.61956,2020-10-13
팔공산맥,"대구광역시 북구 칠곡중앙대로 329 (태전동,외 2필지)",한식,35.925145,128.546731,2020-10-13
피제리아칠곡점,"대구광역시 북구 동천로 125-15, 2층 (동천동)",경양식,35.942889,128.559044,2020-10-13
한가네,대구광역시 북구 침산로21길 23 (칠성동2가),한식,35.885673,128.587758,2020-10-13
한만수의통영멸치국수,대구광역시 북구 동천로 5-15 (동천동),한식,35.932328,128.556463,2020-10-13
한서회,대구광역시 북구 팔거천동로 122 (동천동),일식,35.934982,128.556317,2020-10-13
한통정육식당,대구광역시 북구 칠곡중앙대로 327 (태전동),식육(숯불구이),35.924882,128.546697,2020-10-13
해바라기숯불갈비,대구광역시 북구 공항로 10-10 (복현동),식육(숯불구이),35.897046,128.616622,2020-10-13
해송,대구광역시 북구 유통단지로8길 21-29 (산격동),한식,35.9046,128.609203,2020-10-13
호야암소한마리,대구광역시 북구 이곡길 24-1 (서변동),식육(숯불구이),35.93715,128.605665,2020-10-13
화요옥대구점,"대구광역시 북구 태평로 161, 10층 (칠성동2가, 롯데백화점)",식육(숯불구이),35.875894,128.596312,2020-10-13
황금코다리대구칠곡점,대구광역시 북구 구리로 173 (국우동),식육(숯불구이),35.947952,128.5741,2020-10-13
황장군유통단지점,대구광역시 북구 유통단지로8길 50 (산격동),식육(숯불구이),35.904367,128.610476,2020-10-13
황장군침산점,"대구광역시 북구 옥산로 106 (고성동3가,외 1필지)",한식,35.88381,128.586928,2020-10-13
