산격주공임대,대구광역시 북구 연암로 183 (산격동),산격1동,1991-12-07,8,1862,053-381-3586,건축주택과,2020-09-15
산격 양우내안애아파트,대구광역시 북구 동북로 131 (산격동),산격2동,2003-08-13,3,355,053-384-1505,건축주택과,2020-09-15
산격거평아파트,대구광역시 북구 유통단지로3길 7 (산격동),산격2동,1998-07-08,4,338,053-381-3920,건축주택과,2020-09-15
산격대우아파트,대구광역시 북구 동북로 163 (산격동),산격2동,1991-12-07,8,1702,053-384-1512,건축주택과,2020-09-15
산격2차 청구맨션,대구광역시 북구 대구체육관로4길 2(산격동),산격4동,1999-10-28,2,181,053-956-6005,건축주택과,2020-09-15
복현2차서한타운,대구광역시 북구 공항로15길 8 (복현동),복현2동,1998-04-30,9,553,053-381-5773,건축주택과,2020-09-15
복현3차 서한이다음,대구광역시 북구 복현로 130 (복현동),복현2동,2016-01-25,5,392,053-382-0380,건축주택과,2020-09-15
복현건영아파트,대구광역시 북구 검단로 28 (복현동),복현2동,1998-10-17,4,386,053-383-0084,건축주택과,2020-09-15
복현광명아파트,대구광역시 북구 동북로65길 13 (복현동),복현2동,1980-11-26,15,730,053-952-8306,건축주택과,2020-09-15
복현대백맨션,대구광역시 북구 복현로 137 (복현동),복현2동,1996-07-11,6,450,053-381-2255,건축주택과,2020-09-15
복현명문세가1단지,대구광역시 북구 복현로 71 (복현동),복현2동,2011-04-26,7,336,053-939-2355,건축주택과,2020-09-15
복현보성타운,대구광역시 북구 검단로 64 (복현동),복현2동,1996-07-06,3,419,053-216-8515,건축주택과,2020-09-15
복현서한타운,대구광역시 북구 검단로 50 (복현동),복현2동,1996-08-14,6,454,053-381-9980,건축주택과,2020-09-15
복현우방아파트,대구광역시 북구 공항로 84 (복현동),복현2동,1997-07-16,4,294,053-952-3568,건축주택과,2020-09-15
복현청구타운,대구광역시 북구 검단로 34 (복현동),복현2동,1996-06-20,6,426,053-381-2327,건축주택과,2020-09-15
복현푸르지오,대구광역시 북구 동북로 345(복현동),복현2동,2013-12-30,17,1199,053-951-3344,건축주택과,2020-09-15
복현현대맨션,대구광역시 북구 복현로 115 (복현동),복현2동,1992-05-21,2,315,053-382-6485,건축주택과,2020-09-15
복현화성타운,대구광역시 북구 복현로 173 (복현동),복현2동,1999-11-30,5,370,053-384-8201,건축주택과,2020-09-15
성화아파트,대구광역시 북구 복현로 114-18 (복현동),복현2동,1989-07-18,7,305,053-383-8251,건축주택과,2020-09-15
태왕아너스 복현,대구광역시 북구 복현로 105 (복현동),복현2동,2006-03-20,7,462,053-382-1685,건축주택과,2020-09-15
복현명문세가2단지(공무원임대),대구광역시 북구 복현로 50 (복현동),복현2동,2011-04-26,8,452,053-942-9565,건축주택과,2020-09-15
대현e편한세상,대구광역시 북구 대현로10길 82 (대현동),대현동,2008-09-04,8,527,053-939-0548,건축주택과,2020-09-15
대현뜨란채,대구광역시 북구 대현남로 28 (대현동),대현동,2006-05-02,9,736,053-959-8482,건축주택과,2020-09-15
대현신화맨션,대구광역시 북구 경대로5길 25 (대현동),대현동,1994-06-15,1,173,053-956-7840,건축주택과,2020-09-15
대현휴먼시아2단지,대구광역시 북구 대현남로 25 (대현동),대현동,2010-09-16,8,751,053-942-8712,건축주택과,2020-09-15
대현LH3단지,대구광역시 북구 대현남로6길 20(대현동),대현동,2016-04-14,8,1106,053-943-5900,건축주택과,2020-09-15
민들레아파트,대구광역시 북구 검단로 255 (검단동),검단동,1991-12-30,3,683,053-382-0340,건축주택과,2020-09-15
유성청구아파트,대구광역시 북구 검단로 115 (검단동),검단동,1992-08-14,7,1493,053-383-5400,건축주택과,2020-09-15
U대회선수촌1단지,대구광역시 북구 동변로 50 (동변동),무태조야동,2003-12-30,10,775,053-945-0697,건축주택과,2020-09-15
U대회선수촌2단지,대구광역시 북구 동변로 24 (동변동),무태조야동,2003-12-30,14,1160,053-945-0682,건축주택과,2020-09-15
동서리치모아,대구광역시 북구 서변로 88 (서변동),무태조야동,2003-12-23,7,430,053-956-1772,건축주택과,2020-09-15
동서변그린빌,대구광역시 북구 동변로 55 (동변동),무태조야동,2002-05-28,6,1282,053-952-0266,건축주택과,2020-09-15
동서변리벤빌,대구광역시 북구 서변로 106 (서변동),무태조야동,2005-06-09,6,432,053-952-3011,건축주택과,2020-09-15
동서변월드메르디앙,대구광역시 북구 서변로 26 (서변동),무태조야동,2005-12-21,10,902,053-956-5998,건축주택과,2020-09-15
서변그린타운(서변청아람),대구광역시 북구 호국로57길 20 (서변동),무태조야동,1999-09-30,7,524,053-956-8855,건축주택과,2020-09-15
영남네오빌블루,대구광역시 북구 서변로 120 (서변동),무태조야동,2003-12-19,8,469,053-955-1766,건축주택과,2020-09-15
화성리버파크1단지,대구광역시 북구 서변로 72 (서변동),무태조야동,2003-05-30,6,433,053-958-1775,건축주택과,2020-09-15
화성리버파크2단지,대구광역시 북구 서변로 50 (서변동),무태조야동,2003-05-30,6,515,053-955-1793,건축주택과,2020-09-15
대구연경엘에이치천년나무1단지(연경 A-3BL),대구광역시 북구 동화천로 280 (연경동),무태조야동,2019-04-23,2,600,053-984-2808,건축주택과,2020-09-15
연경금성백조 예미지,대구광역시 북구 연경중앙로 11,무태조야동,2020-02-21,12,711,053-985-3338,건축주택과,2020-09-15
연경동화아이위시,대구광역시 북구 동화천로 190,무태조야동,2020-04-14,8,627,053-986-6300,건축주택과,2020-09-15
금호서한이다음,대구광역시 북구 한강로 17(사수동),관문동,2016-07-21,8,977,053-326-9922,건축주택과,2020-09-15
대백인터빌아파트,대구광역시 북구 작원길 25 (팔달동),관문동,2002-08-12,5,495,053-311-8040,건축주택과,2020-09-15
두산위브2001,대구광역시 북구 매천로2길 19 (팔달동),관문동,1999-02-11,14,1108,053-312-4158,건축주택과,2020-09-15
매천화성파크드림,대구광역시 북구 매전로 17 (매천동),관문동,2010-11-24,7,500,053-325-0673,건축주택과,2020-09-15
매천휴먼시아 2단지,대구광역시 북구 매전로4길 9 (매천동),관문동,2008-01-16,12,928,053-327-1980,건축주택과,2020-09-15
브라운스톤 강북아파트,대구광역시 북구 내곡로 89 (사수동),관문동,2015-06-02,9,959,053-314-2525,건축주택과,2020-09-15
삼우그린타운,대구광역시 북구 매천로8길 35 (매천동),관문동,1996-01-29,1,220,053-311-0470,건축주택과,2020-09-15
이편한세상대구금호,대구광역시 북구 내곡로 49(사수동),관문동,2017-06-07,7,602,053-313-9002,건축주택과,2020-09-15
청구장미마을,대구광역시 북구 칠곡중앙대로 45 (매천동),관문동,1996-10-30,5,518,053-312-6313,건축주택과,2020-09-15
천년나무1단지,대구광역시 북구 한강로 55(사수동),관문동,2014-09-18,8,1088,053-323-6100,건축주택과,2020-09-15
천년나무5단지,대구광역시 북구 내곡로 69(사수동),관문동,2016-12-12,7,1252,053-311-0097,건축주택과,2020-09-15
천년나무8단지,대구광역시 북구 내곡로 15(사수동),관문동,2016-04-29,6,1022,053-327-3176,건축주택과,2020-09-15
서희스타힐스(대구금호스타힐스 6단지),대구광역시 북구 내곡로 70 (사수동),관문동,2018-08-02,8,904,053-311-3939,건축주택과,2020-09-15
강북2차화성파크드림와이드,대구광역시 북구 태전로3길 24 (태전동),태전1동,2008-02-21,4,366,053-314-6776,건축주택과,2020-09-15
강북이진캐스빌,대구광역시 북구 칠곡중앙대로51길 50,태전1동,2015-05-27,6,475,053-314-7739,건축주택과,2020-09-15
중앙한신아파트,대구광역시 북구 영송로 85 (태전동),태전1동,1993-12-08,6,892,053-321-7458,건축주택과,2020-09-15
칠곡 관음타운,대구광역시 북구 영송로 63 (태전동),태전1동,1995-09-29,6,772,053-324-3398,건축주택과,2020-09-15
칠곡 롯데아파트,대구광역시 북구 구암로 12 (태전동),태전1동,1993-05-27,4,390,053-322-3929,건축주택과,2020-09-15
칠곡대백맨션,대구광역시 북구 관음로 24 (태전동),태전1동,1993-10-07,5,430,053-322-6206,건축주택과,2020-09-15
태전 두성타운1차,대구광역시 북구 태전로7길 10-17 (태전동),태전1동,1992-11-03,2,285,053-312-0843,건축주택과,2020-09-15
태전 협화맨션,대구광역시 북구 칠곡중앙대로51길 6 (태전동),태전1동,1992-06-05,5,416,053-312-1806,건축주택과,2020-09-15
태전대백맨션2차,대구광역시 북구 관음로 18 (태전동),태전1동,1995-06-26,3,270,053-324-4193,건축주택과,2020-09-15
태전우방타운 1차,대구광역시 북구 매천로 220 (태전동),태전1동,1992-10-23,5,499,053-311-9772,건축주택과,2020-09-15
태전한라아파트,대구광역시 북구 태전로7길 13 (태전동),태전1동,1997-04-11,4,284,053-311-1492,건축주택과,2020-09-15
한일아파트,대구광역시 북구 칠곡중앙대로53길 32 (태전동),태전1동,1998-02-24,7,680,053-312-1614,건축주택과,2020-09-15
강북화성파크드림,대구광역시 북구 칠곡중앙대로 312 (태전동),태전2동,2007-12-20,4,392,053-327-1755,건축주택과,2020-09-15
두성파크(2차),대구광역시 북구 학정로13길 16(태전동),태전2동,1993-02-11,1,180,053-312-3566,건축주택과,2020-09-15
우방미진타운,대구광역시 북구 칠곡중앙대로52길 46 (태전동),태전2동,1993-06-10,3,297,053-312-5047,건축주택과,2020-09-15
칠곡에덴타운,대구광역시 북구 구암로22길 14 (태전동),태전2동,1993-02-13,4,480,053-321-9410,건축주택과,2020-09-15
칠곡현대1차,대구광역시 북구 구암로16길 7 (태전동),태전2동,1993-06-02,4,441,053-321-4801,건축주택과,2020-09-15
