일반음식점,치맥킹침산점,대구광역시 북구 침산로 168-2  1층 (침산동),대구광역시 북구 침산동 329-5 ,2021-07-14
제과점영업,파리바게트칠곡관음점,대구광역시 북구 칠곡중앙대로 455 (관음동),대구광역시 북구 관음동 1386-16 ,2021-07-14
제과점영업,파리바게뜨칠곡동천점,대구광역시 북구 대천로 85  1층 (동천동),대구광역시 북구 동천동 931-1 ,2021-07-14
제과점영업,파리바게트(칠곡 강북점),대구광역시 북구 학정로 416 (구암동),대구광역시 북구 구암동 769-3 ,2021-07-14
제과점영업,파리바게뜨칠곡학정점,대구광역시 북구 학남로 22 (학정동),대구광역시 북구 학정동 974-5 ,2021-07-14
휴게음식점,이디야대구하중도점,대구광역시 북구 노곡로 18  1 2층 (노곡동),대구광역시 북구 노곡동 254 ,2021-07-14
휴게음식점,이디야대구시민운동장점,대구광역시 북구 침산로 38-1  1 2층 (칠성동2가),대구광역시 북구 칠성동2가 82-2 ,2021-07-14
휴게음식점,이디야커피대구텍스빌점,대구광역시 북구 유통단지로 60  섬유제품관 1층 1025호 (산격동),대구광역시 북구 산격동 1667 섬유제품관 ,2021-07-14
휴게음식점,이디야복현오거리점,대구광역시 북구 공항로 11  1층 (복현동),대구광역시 북구 복현동 536-31 ,2021-07-14
휴게음식점,이디야커피대구대현점,대구광역시 북구 대현로 61-1  1 2층 (대현동),대구광역시 북구 대현동 227-11 ,2021-07-14
제과점영업,파리바게뜨경대북문점,대구광역시 북구 대학로17길 1 (산격동  대구경북대점),대구광역시 북구 산격동 1399 ,2021-07-14
제과점영업,파리바게뜨 대구서변,대구광역시 북구 호국로 215  106호 (서변동  대성골든프라자),대구광역시 북구 서변동 1787 대성골든프라자 106호,2021-07-14
일반음식점,본도시락대구엑스코점,대구광역시 북구 유통단지로8길 76  2층 (산격동),대구광역시 북구 산격동 160 ,2021-07-14
일반음식점,호식이두마리치킨(관음점),대구광역시 북구 관음중앙로 116  1층 (관음동),대구광역시 북구 관음동 1275-1 ,2021-07-14
휴게음식점,버거킹대구칠곡3지구점,대구광역시 북구 팔거천동로 224  1층 102  103호 (동천동),대구광역시 북구 동천동 892-2 ,2021-07-14
휴게음식점,캐틀앤비대구점,대구광역시 북구 태평로 161  5층 (칠성동2가  대구민자역사),대구광역시 북구 칠성동2가 302-155 ,2021-07-14
휴게음식점,일리카페롯데백화점대구점,대구광역시 북구 태평로 161  롯데백화점 대구점 6층 (칠성동2가),대구광역시 북구 칠성동2가 302-155 롯데백화점 대구역 ,2021-07-14
휴게음식점,(주)카페다이노소어대구점,대구광역시 북구 태평로 161  롯데백화점 대구역 8층 (칠성동2가),대구광역시 북구 칠성동2가 302-403 롯데백화점 대구역 ,2021-07-14
일반음식점,(주)포베이롯데대구점,대구광역시 북구 태평로 161  롯데백화점 대구역 지하2층 (칠성동2가),대구광역시 북구 칠성동2가 302-403 롯데백화점 대구역 ,2021-07-14
일반음식점,2046팬스테이크롯데백화점대구역점,대구광역시 북구 태평로 161  10층 (칠성동2가  롯데백화점),대구광역시 북구 칠성동2가 302-155 ,2021-07-14
일반음식점,바르다김선생롯데백화점대구역점,대구광역시 북구 태평로 161  지하2층 (칠성동2가  롯데백화점대구점),대구광역시 북구 칠성동2가 302-155 ,2021-07-14
휴게음식점,커피인롯데점,대구광역시 북구 태평로 161 (칠성동2가),대구광역시 북구 칠성동2가 302-155 ,2021-07-14
휴게음식점,마성떡볶이롯데백화점대구역사점,대구광역시 북구 태평로 161  롯데백화점 대구역 지하2층 (칠성동2가),대구광역시 북구 칠성동2가 302-403 롯데백화점 대구역 ,2021-07-14
휴게음식점,이디아커피경북대점,대구광역시 북구 대학로17길 7  1층 (산격동),대구광역시 북구 산격동 1393-3 (1층) ,2021-07-14
일반음식점,고바슨롯데백화점대구점,대구광역시 북구 태평로 161  롯데백화점 지하 1층 (칠성동2가),대구광역시 북구 칠성동2가 302-155 롯데백화점 대구역 ,2021-07-14
제과점영업,파리바게뜨침산푸르지오점,대구광역시 북구 침산로21길 23  103동 108 109 110호 (칠성동2가  침산1차푸르지오상가),대구광역시 북구 칠성동2가 2-2 103동 108 109 110호 ,2021-07-14
제과점영업,(주)피쉐프코리아(빵장수쉐프대구역점),대구광역시 북구 태평로 161  롯데백화점 대구역 지하2층 (칠성동2가),대구광역시 북구 칠성동2가 302-155 롯데백화점 대구역 ,2021-07-14
제과점영업,파리바게뜨대구연경점,대구광역시 북구 연경지묘로 2  107 108호 (연경동),대구광역시 북구 연경동 962-3 ,2021-07-14
휴게음식점,이디야커피대구팔달시장점,대구광역시 북구 팔달로35길 20  1층 (노원동2가),대구광역시 북구 노원동2가 366 ,2021-07-14
일반음식점,케이에프씨(KFC)침산네거리점,대구광역시 북구 침산로 144  1층 (침산동),대구광역시 북구 침산동 285-4 ,2021-07-14
일반음식점,교동면옥복현점,대구광역시 북구 동북로 303-1 (복현동),대구광역시 북구 복현동 364-12 ,2021-07-14
휴게음식점,배스킨라빈스대구동서변점,대구광역시 북구 호국로 219  122.123호 (서변동  대성골든프라자),대구광역시 북구 서변동 1786 대성골든프라자 122.123호,2021-07-14
휴게음식점,배스킨라빈스대구금호점,대구광역시 북구 한강로 46  1층 (사수동),대구광역시 북구 사수동 905 ,2021-07-14
휴게음식점,칠곡홈플러스이디야커피,대구광역시 북구 동암로12길 8 (동천동  홈플러스칠곡점2층내),대구광역시 북구 동천동 968 ,2021-07-14
제과점영업,구페(GOUFFE)1998,대구광역시 북구 호암로 1  롯데마트 칠성점 지하2층 (칠성동2가),대구광역시 북구 칠성동2가 725 ,2021-07-14
휴게음식점,파스쿠찌(침산점),대구광역시 북구 옥산로 95  1 2층 104 105 106호 (칠성동2가),대구광역시 북구 칠성동2가 90 ,2021-07-14
제과점영업,파리바게뜨대구동변점,대구광역시 북구 동변로 55  가동 107 108호 (동변동  대구동서변그린빌라상가),대구광역시 북구 동변동 679 ,2021-07-14
휴게음식점,할리스경북대북문점,대구광역시 북구 대학로17길 3  지하1 지상1 2 3층 (산격동),대구광역시 북구 산격동 1393-11 ,2021-07-14
일반음식점,비에이치씨(BHC)복현점,대구광역시 북구 복현로 36 (복현동),대구광역시 북구 복현동 249-3 ,2021-07-14
일반음식점,비에이치씨(BHC)치킨매천점,대구광역시 북구 매전로 72-17  1층 (태전동),대구광역시 북구 태전동 1119 ,2021-07-14
제과점영업,파리바게뜨 삼성점,대구광역시 북구 호암로 40 (칠성동2가  101 102호),대구광역시 북구 칠성동2가 378-4 ,2021-07-14
일반음식점,교촌치킨(복현1호점),대구광역시 북구 동북로 238  1층 (복현동),대구광역시 북구 복현동 426-5 ,2021-07-14
휴게음식점,버거킹대구삼성창조캠퍼스점,대구광역시 북구 호암로 51  1층 1  2호 (침산동  벤쳐오피스),대구광역시 북구 침산동 1757 ,2021-07-14
일반음식점,엠푸드시스템(무한샤브T3),대구광역시 북구 태평로 161  10층 (칠성동2가  대구롯데백화점),대구광역시 북구 칠성동2가 302-155 ,2021-07-14
제과점영업,파리바게뜨칠곡읍내점,대구광역시 북구 칠곡중앙대로 604  1층 (읍내동),대구광역시 북구 읍내동 495-12 ,2021-07-14
일반음식점,비에이치시(BHC금호사랑점),대구광역시 북구 한강로8길 4-11 (금호동),대구광역시 북구 금호동 749 ,2021-07-14
휴게음식점,할리스커피(침산점),대구광역시 북구 성북로 36  침산테라스스퀘어 2층 201 202 203 204호 (침산동),대구광역시 북구 침산동 473-1 ,2021-07-14
일반음식점,이지치이지(easy chizzy),대구광역시 북구 대동로1길 34  가동 1층 114 115호 (산격동),대구광역시 북구 산격동 1258 ,2021-07-14
일반음식점,본도시락칠곡3지구점,대구광역시 북구 동암로 128-12  1층 (구암동),대구광역시 북구 구암동 767-2 ,2021-07-14
휴게음식점,던킨,대구광역시 북구 연경지묘로 6  101호 (연경동),대구광역시 북구 연경동 949-1 ,2021-07-14
휴게음식점,던킨도너츠(NC아울렛점),대구광역시 북구 유통단지로14길 22 (산격동 1층),대구광역시 북구 산격동 1668 1층 ,2021-07-14
일반음식점,피자헛대구칠곡본점,대구광역시 북구 팔거천동로 206  1층 105 106 107호 (동천동),대구광역시 북구 동천동 905-3 ,2021-07-14
휴게음식점,도미노피자산격점,대구광역시 북구 동북로 138-1 (산격동),대구광역시 북구 산격동 1207-12 ,2021-07-14
일반음식점,도미노피자칠곡점,대구광역시 북구 구암로 139-1 (동천동),대구광역시 북구 동천동 878-3 ,2021-07-14
일반음식점,교촌치킨,대구광역시 북구 매전로 2-1  1층 (매천동),대구광역시 북구 매천동 682 ,2021-07-14
일반음식점,비에이치씨(bhc)치킨경대북문점,대구광역시 북구 대학로23길 26  1층 (산격동),대구광역시 북구 산격동 1313-62 ,2021-07-14
일반음식점,비에이치씨(BHC)동서변점,대구광역시 북구 서변로 77 (서변동),대구광역시 북구 서변동 1741-4 ,2021-07-14
일반음식점,비에이치씨(bhc)연경점,대구광역시 북구 연경중앙로4길 14  1층 (연경동),대구광역시 북구 연경동 0 ,2021-07-14
일반음식점,더포아담하니복현점,대구광역시 북구 대불로 13  1층 (산격동),대구광역시 북구 산격동 485-19 ,2021-07-14
휴게음식점,데일리샤브대구롯데점,대구광역시 북구 태평로 161  롯데백화점 대구역 지하2층 (칠성동2가),대구광역시 북구 칠성동2가 302-155 롯데백화점 대구역 ,2021-07-14
일반음식점,비에이치씨(BHC)관음점,대구광역시 북구 칠곡중앙대로 485  1층 (관음동),대구광역시 북구 관음동 1383-13 ,2021-07-14
휴게음식점,버거킹대구산격DT점,대구광역시 북구 검단로 29  1층 (산격동),대구광역시 북구 산격동 489-19 ,2021-07-14
휴게음식점,이디야커피신암로점,대구광역시 북구 신암로 111  1층 102호 (대현동),대구광역시 북구 대현동 274-65 ,2021-07-14
일반음식점,교촌치킨읍내점,대구광역시 북구 관음로 295  202동 지하1층 103호 (읍내동  학정역 효성해링턴 플레이스),대구광역시 북구 읍내동 1449 학정역 효성해링턴 플레이스 ,2021-07-14
일반음식점,케이에프씨(KFC)칠곡3지구점,대구광역시 북구 학정로 439  칠곡메가타운 1층 114호 (동천동),대구광역시 북구 동천동 896-2 칠곡메가타운 ,2021-07-14
일반음식점,교촌치킨(학정점),대구광역시 북구 학정로 537  1층 (학정동),대구광역시 북구 학정동 282-14 ,2021-07-14
