의료법인효민의료재단대구큰사랑요양병원,영업중,"대구광역시 북구 대현로 46, 지하2층,지하1층일부,1층일부,2~4층,6층일부,9층 (대현동)",,35.88462579,128.6046815,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,,053-951-9119,2021-07-19
첨단요양병원,영업중,대구광역시 북구 대현로 19 (대현동),,35.88632974,128.6028507,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~15:00,,,,053-669-1000,2021-07-19
칠성요양병원,영업중,"대구광역시 북구 신암로 27, 2,4층일부,5-7층 (칠성동1가)",,35.87515028,128.6054295,10:00~16:00,10:00~16:00,10:00~16:00,10:00~16:00,10:00~16:00,,,,,053-256-3456,2021-07-19
침산요양병원,영업중,"대구광역시 북구 침산남로 92, 3~4층, 7~11층 (침산동)",,35.88904497,128.5858779,,,,,,,,,,053-353-3000,2021-07-19
프라임요양병원,영업중,"대구광역시 북구 신암로 111, 4~8층 (대현동)",,35.88083434,128.6112883,10:00~17:00,10:00~17:00,10:00~17:00,10:00~17:00,10:00~17:00,,,,,053-952-7775,2021-07-19
한솔요양병원,영업중,대구광역시 북구 침산로 167 (침산동),,35.89101352,128.5899973,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:00,09:00~12:00,,,,053-354-5555,2021-07-19
햇살요양병원,영업중,대구광역시 북구 팔거천동로 224 (동천동),,35.94385748,128.5587978,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,,,,053-326-0078,2021-07-19
2080연합피부과의원,영업중,대구광역시 북구 침산로 138,대구광역시 북구 침산동 285-5 명성프라임,35.8887434,128.5918478,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~20:00,09:30~16:00,,,,053-354-2800,2021-07-19
365늘속편한내과의원,영업중,"대구광역시 북구 학정로 415, 2층 (동천동, 메가타운)",,35.94184918,128.5629876,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~12:30,,08:30~12:30,,053-325-0365,2021-07-19
가톨릭건강의원,영업중,"대구광역시 북구 구암로 149, 2층 (동천동)",,35.93198025,128.557138,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,,09:00~13:00,,053-313-0400,2021-07-19
가톨릭비뇨기과의원,영업중,"대구광역시 북구 칠곡중앙대로 442, 2층,3층 (읍내동)",,35.93508056,128.5491694,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~13:00,,09:00~12:30,,053-325-0021,2021-07-19
가톨릭이비인후과의원,영업중,대구광역시 북구 칠곡중앙대로 411 (태전동),대구광역시 북구 태전동 940 우영펠리스,35.93249126,128.5480132,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~16:00,,,,053-311-7579,2021-07-19
가톨릭정충일안과의원,영업중,대구광역시 북구 학정로 431,대구광역시 북구 동천동 896-4,35.94331993,128.5632731,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:30,,,,053-322-7525,2021-07-19
가톨릭피부과의원,영업중,대구광역시 북구 구암로15길 28 (읍내동),대구광역시 북구 읍내동 1140-0,35.93508439,128.5501294,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~11:30,,,,053-320-2029,2021-07-19
강남수의원,영업중,"대구광역시 북구 신암로 99, 2층 (대현동)",,35.87990804,128.6104767,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:00,,,,053-944-0124,2021-07-19
강남연합정형외과의원,영업중,"대구광역시 북구 대현남로6길 11, 1층,5층 (대현동)",,35.88105085,128.608582,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~17:00,,,,053-242-0119,2021-07-19
강남정신건강의학괴의원,영업중,"대구광역시 북구 신암로 111, 강남메디컬타워 3층 303호 (대현동)",,35.88083434,128.6112883,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,,,053-939-0675,2021-07-19
강북가톨릭정형외과의원,영업중,"대구광역시 북구 칠곡중앙대로 427, 1,2,3층 (관음동)",,35.93390738,128.5483289,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,,,,053-327-1199,2021-07-19
강북연합내과의원,영업중,대구광역시 북구 구암로65길 52,대구광역시 북구 구암동 769-4,35.94175919,128.5641023,09:00~18:30,09:00~18:30,,09:00~18:30,09:00~18:30,09:00~13:00,,,,053-326-7200,2021-07-19
강북푸른정형외과의원,영업중,"대구광역시 북구 동천로 121, 1층 및 2층 일부층 (동천동, 상남빌딩)",,35.94236998,128.5603604,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,09:00~13:00,09:00~13:00,"1,3",053-314-2121,2021-07-19
강북학운외과의원,영업중,대구광역시 북구 칠곡중앙대로 400 (태전동),대구광역시 북구 태전동 993-9,35.93132369,128.5485489,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:00,,,,053-326-6789,2021-07-19
강창수비뇨기과의원,영업중,대구광역시 북구 칠곡중앙대로 390,대구광역시 북구 태전동 1003-1/칠곡네거리~대구과학대삼거리 사이,35.93040316,128.5483758,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,,,,053-321-0602,2021-07-19
강피부과의원,영업중,대구광역시 북구 동북로 170 (산격동),,35.89896543,128.611071,09:30~18:20,09:30~18:20,09:30~18:20,09:30~18:20,09:30~18:20,09:30~13:00,,,,053-959-2100,2021-07-19
건강한내과와튼튼한소아과의원,영업중,대구광역시 북구 원대로 42,대구광역시 북구 고성동2가 116-2/달성초등학교네거리 부근,35.88117615,128.5810222,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,,09:00~13:00,,053-341-7582,2021-07-19
경대속사랑내과의원,영업중,"대구광역시 북구 대현남로6길 11, 3층 (대현동)",,35.88105085,128.608582,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,,,,053-942-7575,2021-07-19
경대속연합의원,영업중,대구광역시 북구 한강로4길 9,대구광역시 북구 사수동 953 3층,35.89607902,128.5145532,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~15:00,,09:00~13:00,,053-327-0119,2021-07-19
경대수내과의원,영업중,"대구광역시 북구 동천로23길 30-23, 3층 301~304호 (동천동)",,35.94398793,128.5570677,09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:00,09:30~18:30,09:30~14:00,,,,053-326-0099,2021-07-19
경대에스비뇨의학과의원,영업중,"대구광역시 북구 팔거천동로 223, 수정빌딩 4층 401호 (동천동)",,35.94398644,128.5579185,09:00~19:00,09:00~19:00,09:00~21:00,09:00~19:00,09:00~19:00,09:00~14:00,,,,053-216-0119,2021-07-19
경대연합내과의원,영업중,대구광역시 북구 칠곡중앙대로 461 (관음동),대구광역시 북구 관음동 1386-12 (관음동),35.93701188,128.5488064,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,,09:00~12:30,,053-322-6466,2021-07-19
경복의원,영업중,대구광역시 북구 태전로7길 3,대구광역시 북구 태전동 155-19/태전한라아파트 입구,35.92314514,128.5440555,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,14:30~19:00,,09:00~19:00,,053-312-7374,2021-07-19
경북대학교부속의원,영업중,"대구광역시 북구 대학로 80 (산격동, 복지관 3층)",대구광역시 북구 산격동 1370-1/경북대학교캠퍼스내(구.보건지소),35.88909849,128.6143217,09:30~17:00,09:30~17:00,09:30~17:00,09:30~17:00,09:30~17:00,,,,,053-950-8197,2021-07-19
경북마취제통의원,영업중,대구광역시 북구 동북로 163,대구광역시 북구 산격2동 500-1번지/산경시장 맞은편(대우APT상가),35.89945228,128.6113378,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~17:00,,,,053-382-8211,2021-07-19
경찰공제회 대구북부의원,영업중,대구광역시 북구 태암남로 38 (태전동),,35.92451067,128.5522009,10:00~10:01,,,,,,,,,053-311-0835,2021-07-19
경희산부인과의원,영업중,대구광역시 북구 칠곡중앙대로 404 (태전동),대구광역시 북구 태전동 993-12 메디팜빌딩,35.93176259,128.5486151,09:30~18:00,09:30~19:00,09:30~18:00,09:30~13:00,09:30~18:00,09:30~13:00,,,,053-325-7585,2021-07-19
