구분,주차허용시작점,주차허용종료점,허용면,총거리(m),평일운영시작시간,평일운영종료시각,토요일운영시작시간,토요일운영종료,"일, 공휴일운영시작시간","일, 공휴일 운영종료시간",금지차량
강북서,북구 읍내동 대경장기요양원,북구 읍내동 예당한의원,편측,480,22:00,7:00,0:00,0:00,0:00,0:00,"2톤이상 화물차, 30인승이상 승합차"
강북서,북구 팔달동231-1(장태실네거리서편),북구 팔달동442-2,양측,600,"12:00, 22:00","14:00, 07:00",,,,,(1.5톤조업화물차량 15분내 항시허용)
강북서,북구 구암동 운암중학교 동편,북구 구암동 화성그랜드파크 308동,양측,2000,"11:00, 22:00","14:00, 07:00",,,,,(1.5톤조업화물차량 15분내 항시허용)
강북서,북구 구암동 708,북구 구암네거리남편,양측,1800,"11:00, 22:00","14:00, 07:00",,,,,(1.5톤조업화물차량 15분내 항시허용)
강북서,칠곡ic네거리,읍내동 1278,양측,3000,"09:00, 19:00","17:00, 07:00 ",0:00,0:00,0:00,0:00,"2.5톤초과 화물차, 30인이상승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
강북서,북구 팔거천동로 태암교,구암역구암역→팔거천동로32,편측,350,"09:00, 19:00","17:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤초과 화물차, 30인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
강북서,북구 칠곡중앙대로504-1(현대연합외과의원),북구 칠곡중앙대로 544(꽃프라자),양측,390,"09:00, 19:00","17:00, 07:00 (노상주차장제외)",0:00,0:00,0:00,0:00,"1.4톤초과 화물차, 30인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
강북서,북구 팔거천동로(대동교 동편 네거리),북구 팔거천동로(참물샘삼거리),양측,500,"09:00, 19:00","17:00, 07:00 ",0:00,0:00,0:00,0:00,"1.4톤초과 화물차, 30인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
강북서,북구 동암로12길(홈플러스 남편),북구 동암로12길(홈플러스 남편),양측,380,"09:00, 19:00","17:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤초과 화물차, 30인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
강북서,팔거천서로(팔거천서로삼거리),팔거천서로(구암교서편네거리) ,편측,300,"09:00, 19:00","17:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤초과 화물차, 30인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
강북서,팔거천서로(동천교 서편네거리),팔거천서로(태암교 서편네거리) ,양측,800,"09:00, 19:00","17:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤초과 화물차, 30인초과승합차 (1.4톤 이하 조업화물차량15분내 항시허용) "
강북서,칠곡중앙대로 584,칠곡중앙대로663,양측,1600,"09:00, 19:00","17:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤초과 화물차, 30인초과승합차"
강북서,연경동 941 연경숲 아파트 105동,연경동 941 연경숲 아파트 102동,편측,20,"07:00, 09:00","17:00, 19:00","07:00, 09:00","17:00, 19:00","07:00, 09:00","17:00, 19:00","1.5톤초과, 15인초과승합차"
