구분,주차허용시작점,주차허용종료점,허용면,총거리(m),평일운영시작시간,평일운영종료시각,토요일운영시작시간,토요일운영종료,"일, 공휴일운영시작시간","일, 공휴일 운영종료시간",금지차량
수성서,수성구 범어동 mbc 북편,수성구 범어동 국채보상로 180길,편측,120,"12:00, 21:00","14:00, 07:00 ",,,,,"1.4톤초과화물차, 30인초과 승합차 (1.4톤이하 조업화물차량 15분내 항시허용)"
수성서,수성구 국채보상로 914,수성구 국채보상로 936,양측,480,"12:00, 21:00","14:00, 07:00 ",,,,,"1.4톤초과화물차, 30인초과 승합차 (1.4톤이하 조업화물차량 15분내 항시허용)"
수성서,수성구 국채보상로 944 ,수성구 국채보상로1088,양측,2800,"12:00, 20:00","14:00, 07:00 (서→동방면 노상주차장제외)",0:00,0:00,0:00,0:00,"1.4톤초과화물차, 30인초과 승합차 (1.4톤이하 조업화물차량 15분내 항시허용)"
수성서,수성구 만촌동 만촌태왕리더스 105동,수성구 만촌동 무열로11한국타이어티스테이션,편측,430,"12:00, 20:00","16:00, 07:00",0:00,0:00,0:00,0:00,"1.4톤초과화물차, 30인초과 승합차 (1.4톤이하 조업화물차량 15분내 항시허용)"
수성서,수성구 파동로 63,수성구 파동로 1,양측,1180,"12:00, 20:00","16:00, 07:00",,,,,"1.4톤초과화물차, 30인초과 승합차 (1.4톤이하 조업화물차량 15분내 항시허용)"
수성서,청솔로 126 서편,청솔로 126 서편,양측,230,"09:00, 19:00","17:00, 07:00",,,,,"1.1톤초과화물차, 30인초과승합차"
수성서,수성구 황금동 sk리더스 107동 동편,수성구 황금동 대우트럼프월드기업은행동편편측,편측,395,22:00,6:50,,,,,"1.5톤초과화물차, 30인초과승합차"
수성서,수성구 범안로 6,수성구  범물 청아 우방@ 101동 북편,편측,450,"10:00, 19:00","17:00, 07:00",0:00,0:00,0:00,0:00,"1.5톤초과화물차, 30인초과승합차"
수성서,수성구 범물동 범물실버복지센타 서편,수성구 범물동 용학도서관 동편(편측),편측,390,9:00,7:00,,,,,"1.1톤초과화물차, 15인초과승합차"
수성서,수성구 달구벌대로650길(시지고 동편),수성구 달구벌대로650길(시지고 동편 편측),양측,155,0:00,0:00,,,,,"1.5톤초과화물차, 15인초과승합차, 특수대형"
