no,대구 북구 대현동 82,3
no,대구 북구 원대동1가 55-6,3
no,대구 북구 산격동 131,3
no,대구 북구 산격동 106-5,3
no,대구 북구 산격동 121-1,3
no,대구 북구 비산동 92,3
no,대구 북구 산격동 71,3
no,대구 북구 고성동3가 159-9,3
no,대구 북구 신암동 1620,3
no,대구 북구 동인동1가 398,3
no,대구 북구 검단동청구유성아파트,3
no,대구 북구 동변초등학교,3
no,대구 북구 태평로2가 33-2,3
no,대구 북구 산격초등학교,3
no,대구 북구 읍내동 1386-16,3
no,대구 북구 읍내동 칠곡중앙대로110,3
no,대구 북구 대현동 80,2
no,대구 북구 산격동 109-16,2
no,대구 북구 신암동 1343-4,2
no,대구 북구 고성동2가 206,2
no,대구 북구 동천동 84,2
no,대구 북구 산격동 99,2
no,대구 북구 태전동 칠곡중앙대로북5,2
no,대구 북구 산격동 국민은행,2
no,대구 북구 신암동 1360,2
no,대구 북구 국우동 983-2,2
no,대구 북구 동천동 984-1,2
no,대구 북구 산격동 887-54,2
no,대구 북구 매천동 6-17,2
no,대구 북구 원대동3가,2
no,대구 북구 동천동 76,2
no,대구 북구 비산동 18,2
no,대구 북구 양지마을 입구,2
no,대구 북구 신암동 135,2
no,대구 북구 옥산초등학교,2
no,대구 북구 학정초등학교,2
no,대구 북구 팔달초등학교,2
no,대구 북구 산격동 산 172-1,1
no,대구 북구 대현동 714-2,1
no,대구 북구 읍내동 1478-16,1
no,대구 북구 노원동3차 1022,1
no,대구 북구 산격동 258,1
no,대구 북구 읍내동 1278-66,1
no,대구 북구 원대동2가 71,1
no,대구 북구 신암동 360-6,1
no,대구 북구 동호동 칠곡중앙대로136,1
no,대구 북구 비산동 1710-3,1
no,대구 북구 동변동 686-410,1
no,대구 북구 태전동 21-39,1
no,대구 북구 산격동 70,1
no,대구 북구 구암동 989-5,1
no,대구 북구 구암동 6565-10,1
no,대구 북구 구암돔 654,1
no,대구 북구 노원동3가 209-11,1
no,대구 북구 비산동 4,1
no,대구 북구 침산동 206-1,1
no,대구 북구 복현동 539-50,1
no,대구 북구 서변동 795,1
no,대구 북구 비산동 874,1
no,대구 북구 서변동 762-7,1
no,대구 북구 태전동 933-13,1
no,대구 북구 동천동 1904-4,1
no,대구 북구 동천동 953-9,1
no,대구 북구 고성도1가 160-81,1
no,대구 북구 노원동3가 93-10,1
no,대구 북구 국우동 62-12,1
no,대구 북구 산격초등학교 열린음악교실,1
no,대구 북구 관음동 139-18,1
no,대구 북구 대학로 최병원,1
no,대구 북구 신암동 148-9,1
no,대구 북구 원대동2가 71,1
no,대구 북구 산격초등학교 스쿨존,1
no,대구 북구 신암동 86-5,1
no,대구 북구 칠성동2가 대성꽃시,1
no,대구 북구 신암동 60,1
no,대구 북구 신암동 37-18,1
no,대구 북구 산격3동 KT,1
no,대구 북구 서변동756-15,1
no,대구 북구 산격동887-54,1
no,대구 북구 노원동3가788-1,1
no,대구 북구 관음초등학교,1
no,대구 북구 산격동 73,1
no,대구 북구 동변근린공원 교차로내,1
no,대구 북구 매천동 강북컨벤션웨딩,1
no,대구 북구 산격동 887-54,1
no,대구 북구 태전동 3-5,1
no,대구 북구 노원동2가782,1
no,대구 북구 구암동 967-1,1
no,대구 북구 태전초등학교,1
no,대구 북구 읍내동 1386-16,1
no,대구 북구 비산동 1341,1
no,대구 북구 학남초등학교,1
no,대구 북구 국우동 3-26,1
no,대구 북구 삼영초등학교,1
no,대구 북구 구암동 872,1
no,대구 북구 산격동 150,1
no,대구 북구 읍내동 칠곡중앙대로115,1
no,대구 북구 성북초등학교,1
no,대구 북구 읍내동 1292-16,1
no,대구 북구 대현동 34,1
no,대구 북구 복현동 8-11,1
no,대구 북구 복현초등학교,1
no,대구 북구 관남초등학교,1
