대구 북구 침산동 10,128.5883222,35.8994649
대구 북구 관음동 1402-7,128.5484555,35.9355726
대구 북구 관음동 149-1,128.5446328,35.9468158
대구 북구 검단동 48,128.6291059,35.9217167
대구 북구 산격동 1416-44,128.6075258,35.8916559
대구 북구 복현동 50,128.6219743,35.9040366
대구 북구 태전동 420-10,128.5480440,35.9230500
대구 북구 구암동 22,128.5701875,35.9331156
대구 북구 매천동 527-3,128.5431864,35.9025834
대구 북구 서변동 1771,128.5984330,35.9217709
대구 북구 읍내동 20,128.5417716,35.9732286
대구 북구 매천동 318,128.5435273,35.9062897
대구 북구 노원동3가 1227,128.5686641,35.8907649
대구 북구 산격동 1485,128.6090514,35.8981657
대구 북구 복현동 539-7,128.6157810,35.9007539
대구 북구 국우동 486,128.5801993,35.9462864
대구 북구 관음동 1386-3,128.5478668,35.9363419
대구 북구 태전1동 보건대,128.5320958,35.9284999
대구 북구 복현동 35,128.6190506,35.9056469
대구 북구 칠성동1가 280-28,128.6068108,35.8745339
대구 북구 침산동 123-3,128.5954696,35.8896972
대구 북구 노원동3가 813,128.5694631,35.8896780
대구 북구 노원동3가 1227,128.5686641,35.8907649
대구 북구 침산동 68-4,128.5995323,35.8851878
대구 북구 동천동 962-6,128.5621269,35.9427141
대구 북구 산격동 1636,128.6129741,35.9057249
대구 북구 동천동 960-2,128.5606621,35.9418996
대구 북구 읍내동 6,128.5387898,35.9744213
대구 북구 복현동 5,128.6232974,35.9058086
대구 북구 산격동 1258,128.6105284,35.8983937
대구 북구 서변동 49,128.6100804,35.9409342
대구 북구 연경동,128.6126,35.9606
대구 북구 칠성동2가 100,128.5903345,35.8813383
대구 북구 읍내동 1248-4,128.5451847,35.9472831
대구 북구 학정동 373-2,128.5658916,35.9555514
대구 북구 관음동 117-,128.5403535,35.9496493
대구 북구 구암동 713 앞 삼거,128.5575100,35.9297468
대구 북구 고성동1가 84-9,128.5880473,35.8777661
대구 북구 복현동 105,128.6225065,35.9018983
대구 북구 노원동3가 775,128.5680861,35.8890075
대구 북구 태전동 37,128.5403802,35.9252797
대구 북구 고성동2가 112-347,128.5824126,35.8803191
대구 북구 산격동 1782,128.6164310,35.9086803
대구 북구 동변동 102,128.6066095,35.9247574
대구 북구 침산동 233-4,128.5885780,35.8870561
대구 북구 침산동 1662-20,128.5944090,35.8913310
대구 북구 칠성동2가 531,128.5979882,35.8774238
대구 북구 관음동 1375,128.5460764,35.9335095
대구 북구 서변동,128.5922,35.9256
대구 북구 침산동 1679-3,128.5931665,35.8889341
대구 북구 서변동 1148-1,128.5950612,35.9220928
대구 북구 노원동3가 782,128.5693221,35.8891401
대구 북구 산격동 2,128.6068876,35.9146932
대구 북구 서변동 1764,128.5962895,35.9175140
대구 북구 읍내동 1234-151,128.5536437,35.9446348
